Nome,Tipo,URL,RSS
Canaltech (IA),Brasil,https://canaltech.com.br/inteligencia-artificial/,
Exame,Brasil,https://exame.com/inteligencia-artificial/,
G1 Tecnologia (IA),Brasil,https://g1.globo.com/tecnologia/inteligencia-artificial/,
MIT Technology Review Brasil (IA),Brasil,https://mittechreview.com.br/category/inteligencia-artificial/,
Tecnoblog (IA),Brasil,https://tecnoblog.net/topico/inteligencia-artificial/,
CNN,Brasil,https://www.cnnbrasil.com.br/tudo-sobre/inteligencia-artificial/,
StartSe (IA),Brasil,https://www.startse.com/noticias/ia/,
Meta AI Blog,Primária,https://ai.meta.com/blog/,
arXiv,Pesquisa,https://arxiv.org/,
Google,Primária,https://blog.google/,
Cohere Blog,Primária,https://cohere.com/blog,
DeepMind,Primária,https://deepmind.google/research/publications/,
Hugging Face Blog,Primária,https://huggingface.co/blog,
Apple Machine Learning Research,Primária,https://machinelearning.apple.com/,
Microsoft,Primária,https://microsoft.ai/news/,
Mistral AI News,Primária,https://mistral.ai/news/,
Nvidia,Primária,https://nvidianews.nvidia.com/,
OpenAI,Primária,https://openai.com/news/company-announcements/,
Perplexity,Pesquisa,https://research.perplexity.ai/,
Anthropic,Primária,https://www.anthropic.com/news/,
Perplexity,Primária,https://www.perplexity.ai/hub,
Agent Pulse,Secundária,https://agentpulse.beehiiv.com/,
AI Breakfast,Secundária,https://aibreakfast.beehiiv.com/,
AlphaSignal,Secundária,https://alphasignal.ai/,
The Deep View,Secundária,https://archive.thedeepview.com/,
Data Machina,Secundária,https://datamachina.com/,
Import AI (Jack Clark),Secundária,https://importai.substack.com/,
The AI Pulse,Secundária,https://theaipulse.beehiiv.com/,
TLDR AI,Secundária,https://tldr.tech/ai,
Ben's Bites,Secundária,https://www.bensbites.co/,
Cyberman,Secundária,https://www.cyberman.ai/,
Reuters,Secundária,https://www.reuters.com/technology/artificial-intelligence/,
Superhuman AI,Secundária,https://www.superhuman.ai/,
The Neuron,Secundária,https://www.theneurondaily.com/,
The Rundown AI,Secundária,https://www.therundown.ai/archive,
Recaply,Secundária,https://www.recaply.co/,
7min.ai,Secundária,https://7min.ai/?lang=pt-br,
Evolving AI,Secundária,https://evolvingai.io/,